TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612765,Detroit Pistons,2021-22,23,59,0.28,-633.0
1610612744,Golden State Warriors,2021-22,53,29,0.646,454.0
1610612745,Houston Rockets,2021-22,20,62,0.244,-695.0
1610612754,Indiana Pacers,2021-22,25,57,0.305,-285.0
1610612746,LA Clippers,2021-22,42,40,0.512,2.0
1610612747,Los Angeles Lakers,2021-22,33,49,0.402,-250.0
1610612763,Memphis Grizzlies,2021-22,56,26,0.683,466.0
1610612748,Miami Heat,2021-22,53,29,0.646,365.0
1610612749,Milwaukee Bucks,2021-22,51,31,0.622,275.0
1610612750,Minnesota Timberwolves,2021-22,46,36,0.561,216.0
1610612740,New Orleans Pelicans,2021-22,36,46,0.439,-81.0
1610612752,New York Knicks,2021-22,37,45,0.451,-10.0
1610612760,Oklahoma City Thunder,2021-22,24,58,0.293,-664.0
1610612753,Orlando Magic,2021-22,22,60,0.268,-656.0
1610612755,Philadelphia 76ers,2021-22,51,31,0.622,214.0
1610612756,Phoenix Suns,2021-22,64,18,0.78,615.0
1610612757,Portland Trail Blazers,2021-22,27,55,0.329,-728.0
1610612758,Sacramento Kings,2021-22,30,52,0.366,-448.0
1610612759,San Antonio Spurs,2021-22,34,48,0.415,10.0
1610612761,Toronto Raptors,2021-22,48,34,0.585,188.0
1610612762,Utah Jazz,2021-22,49,33,0.598,495.0
1610612764,Washington Wizards,2021-22,35,47,0.427,-277.0
1610612737,Atlanta Hawks,2020-21,41,31,0.569,167.0
1610612738,Boston Celtics,2020-21,36,36,0.5,105.0
1610612751,Brooklyn Nets,2020-21,48,24,0.667,324.0
1610612766,Charlotte Hornets,2020-21,33,39,0.458,-139.0
1610612741,Chicago Bulls,2020-21,31,41,0.431,-64.0
1610612739,Cleveland Cavaliers,2020-21,22,50,0.306,-608.0
1610612742,Dallas Mavericks,2020-21,42,30,0.583,163.0
1610612743,Denver Nuggets,2020-21,47,25,0.653,355.0
1610612765,Detroit Pistons,2020-21,20,52,0.278,-322.0
1610612744,Golden State Warriors,2020-21,39,33,0.542,76.0
1610612745,Houston Rockets,2020-21,17,55,0.236,-569.0
1610612754,Indiana Pacers,2020-21,34,38,0.472,-3.0
1610612746,LA Clippers,2020-21,47,25,0.653,445.0
1610612747,Los Angeles Lakers,2020-21,42,30,0.583,201.0
1610612763,Memphis Grizzlies,2020-21,38,34,0.528,74.0
1610612748,Miami Heat,2020-21,40,32,0.556,2.0
1610612749,Milwaukee Bucks,2020-21,46,26,0.639,424.0
1610612750,Minnesota Timberwolves,2020-21,23,49,0.319,-400.0
1610612740,New Orleans Pelicans,2020-21,31,41,0.431,-21.0
1610612752,New York Knicks,2020-21,41,31,0.569,166.0
1610612760,Oklahoma City Thunder,2020-21,22,50,0.306,-766.0
1610612753,Orlando Magic,2020-21,21,51,0.292,-670.0
1610612755,Philadelphia 76ers,2020-21,49,23,0.681,402.0
1610612756,Phoenix Suns,2020-21,51,21,0.708,419.0
1610612757,Portland Trail Blazers,2020-21,42,30,0.583,129.0
1610612758,Sacramento Kings,2020-21,31,41,0.431,-265.0
1610612759,San Antonio Spurs,2020-21,33,39,0.458,-125.0
1610612761,Toronto Raptors,2020-21,27,45,0.375,-34.0
1610612762,Utah Jazz,2020-21,52,20,0.722,666.0
1610612764,Washington Wizards,2020-21,34,38,0.472,-132.0
1610612737,Atlanta Hawks,2019-20,20,47,0.299,-534.0
1610612738,Boston Celtics,2019-20,48,24,0.667,454.0
1610612751,Brooklyn Nets,2019-20,35,37,0.486,-41.0
1610612766,Charlotte Hornets,2019-20,23,42,0.354,-439.0
1610612741,Chicago Bulls,2019-20,22,43,0.338,-200.0
1610612739,Cleveland Cavaliers,2019-20,19,46,0.292,-513.0
1610612742,Dallas Mavericks,2019-20,43,32,0.573,371.0
1610612743,Denver Nuggets,2019-20,46,27,0.63,154.0
1610612765,Detroit Pistons,2019-20,20,46,0.303,-235.0
1610612744,Golden State Warriors,2019-20,15,50,0.231,-566.0
